Employee_id,First_Name,Last_Name,Gender,Salary,Date_of_Birth,Age,Country,Department_id,Date_of_Joining,Manager_id,Currency,End_Date
1,Auberon,Nassie,Male,105623,07/11/1988,60,Sweden,4,23/10/2014,7,INR,30/11/2020
2,Kristopher,Winslet,Female,69531,29/07/1981,13,China,10,28/05/2016,7,AUD,09/09/2018
3,Kellina,Lamberto,Female,96879,24/07/1984,27,India,12,21/03/2016,9,INR,09/04/2020
4,Tobit,Halksworth,Female,76070,29/11/1981,44,India,4,12/11/2012,17,INR,04/10/2019
5,Missy,Bampkin,Male,62228,03/04/1981,54,USA,7,14/07/2013,8,AUD,20/10/2018
6,Faustina,Caser,Male,106837,27/05/1984,14,China,5,15/10/2014,5,INR,03/04/2020
7,Alic,Dooler,Male,77729,03/10/1991,-12,Sweden,17,21/06/2014,9,AUD,24/02/2018
8,Gabey,Mainson,Male,81590,05/05/1992,60,Sweden,7,14/04/2018,18,INR,29/03/2019
9,Hammad,Huckle,Male,71206,08/04/1983,-10,Germany,13,15/05/2018,19,AUD,30/12/2020
10,Kanya,Tipens,Male,98642,21/03/1986,53,USA,11,31/03/2017,2,INR,22/11/2020
11,Ugo,Choulerton,Male,108740,29/01/1985,40,Australia,9,28/09/2013,13,INR,23/08/2020
12,Kathy,Milstead,Female,121493,17/10/1991,-9,Brazil,8,17/09/2010,8,INR,02/10/2020
13,Fannie,Banks,Male,67525,26/08/1985,-6,China,8,08/12/2011,17,INR,28/12/2019
14,Loni,Dalinder,Female,119141,27/01/1990,-2,Canada,8,14/10/2017,19,INR,22/05/2018
15,Melitta,Stroban,Female,110615,24/08/1987,13,Germany,11,22/01/2018,20,INR,13/05/2018
16,Pepillo,Lurcock,Male,110210,26/03/1980,14,Denmark,7,21/09/2017,7,AUD,04/11/2020
17,Ben,Kember,Female,126559,01/07/1982,28,China,7,29/12/2018,12,AUD,30/03/2018
18,Donnie,Dodshon,Male,70872,08/01/1983,-13,USA,5,23/01/2012,7,INR,11/02/2018
19,Thelma,Blackston,Female,67683,05/09/1985,56,China,3,08/08/2017,16,AUD,15/07/2019
20,Stacy,Albon,Male,95195,02/09/1984,46,Sweden,19,07/05/2011,12,AUD,20/04/2018
21,Sherie,Onele,Female,96185,05/11/1990,-10,China,16,26/01/2014,9,AUD,18/12/2020
22,Rasla,Bagworth,Female,110823,09/03/1980,-12,Japan,3,04/09/2013,19,INR,11/09/2020
23,Suzie,Marrett,Male,98294,02/08/1984,20,Denmark,8,28/04/2017,1,AUD,16/11/2019
24,Erinn,Vango,Female,71036,27/09/1988,-2,USA,3,10/01/2018,19,INR,04/05/2018
25,Stafani,Fever,Male,104083,01/06/1982,48,Canada,12,21/08/2013,10,INR,28/03/2018
26,Clim,Windridge,Female,63537,18/09/1989,60,India,17,06/04/2013,2,INR,12/08/2018
27,Ashlen,Hurne,Male,63539,19/05/1992,52,Canada,13,07/05/2014,11,INR,04/11/2018
28,Wolfy,Loyd,Male,79376,19/11/1987,35,Canada,18,10/07/2014,19,INR,13/11/2020
29,Randolf,Boak,Female,123433,25/05/1982,5,India,8,17/10/2018,20,AUD,15/10/2018
30,Bonni,Duguid,Female,62451,03/04/1985,34,China,2,18/01/2016,18,AUD,13/02/2020
31,Rafaelita,Nye,Female,81086,13/04/1986,35,India,5,09/08/2016,3,INR,07/12/2020
32,Jarid,McGuckin,Male,86333,23/02/1983,-8,China,18,16/12/2012,18,INR,29/03/2018
33,Bennie,Surr,Female,62093,18/09/1983,-16,Canada,14,19/05/2016,15,AUD,14/05/2020
34,Zsa zsa,Waterstone,Male,96268,10/08/1984,9,UAE,14,24/03/2012,8,AUD,18/04/2020
35,Gabriel,Ormshaw,Female,120118,06/10/1984,25,USA,16,21/09/2015,19,INR,07/01/2020
36,Huberto,Killock,Female,115181,29/01/1992,29,Sweden,1,25/11/2017,3,AUD,12/11/2018
37,Northrop,Terney,Male,120212,07/11/1984,34,Canada,5,01/05/2013,15,INR,10/02/2020
38,Cyril,Abendroth,Female,68758,29/11/1983,15,Japan,11,21/05/2012,17,AUD,28/12/2020
39,Krissie,Samuel,Female,74154,17/08/1980,23,USA,14,16/02/2015,13,AUD,29/04/2018
40,Valeria,Skillett,Female,65882,28/08/1991,-5,Sweden,20,30/06/2014,8,INR,15/11/2018
41,Vincents,Strood,Male,64110,19/07/1990,20,Japan,8,17/01/2014,13,INR,05/05/2020
42,Jonis,Heaford,Female,71696,08/10/1986,20,Australia,17,16/02/2014,13,INR,11/09/2019
43,Orin,Poxton,Female,80074,20/11/1988,2,India,2,11/03/2017,20,AUD,09/07/2020
44,Beryle,Lyosik,Female,95075,01/08/1983,23,Brazil,3,25/07/2016,3,INR,01/07/2019
45,Devin,Passler,Female,77288,12/10/1982,-10,Japan,16,09/03/2013,17,INR,31/08/2019
46,Willey,Cockburn,Male,110737,28/09/1986,-6,China,7,30/11/2013,14,AUD,25/03/2018
47,Bart,Astbery,Male,64429,06/01/1992,52,Japan,16,11/06/2016,1,AUD,26/03/2020
48,Reinhard,Fourman,Female,116342,10/11/1982,16,China,18,11/05/2011,1,AUD,23/02/2019
49,Vikky,McCloch,Male,95866,04/04/1989,41,USA,16,13/05/2014,17,INR,21/03/2020
50,Kellen,Haruard,Male,91894,05/06/1980,58,Japan,4,02/10/2015,16,INR,21/07/2018
51,Lutero,Stapley,Male,128589,16/06/1984,43,India,1,25/02/2016,12,AUD,06/12/2018
52,Dulsea,Beardon,Male,61448,04/12/1981,-10,UAE,15,06/08/2012,8,INR,24/09/2019
53,Cloris,Charle,Male,116499,30/12/1991,43,India,4,14/12/2017,15,INR,07/08/2018
54,Ferris,Give,Male,109877,24/06/1987,37,Brazil,1,12/11/2010,18,AUD,22/06/2019
55,Kerk,Pardal,Male,125513,05/06/1991,-15,USA,5,14/11/2016,18,AUD,20/08/2019
56,Harlie,Connick,Male,70156,05/01/1986,10,Denmark,20,01/05/2010,19,AUD,13/07/2019
57,Tiffany,Blaisdell,Male,65463,03/05/1987,-3,UAE,6,02/02/2012,2,AUD,11/12/2020
58,Donica,Colquit,Male,100452,31/10/1990,48,Australia,17,18/03/2014,7,AUD,26/06/2019
59,Peria,Gallon,Female,64271,19/02/1986,41,UAE,13,22/10/2016,11,AUD,26/04/2018
60,Freddy,Dowzell,Male,124668,25/09/1983,42,UAE,12,03/08/2014,6,AUD,15/01/2020
61,Emmalynne,Canning,Male,72737,18/04/1985,50,China,7,27/02/2011,7,AUD,16/01/2019
62,Morganica,Wegner,Female,62834,26/07/1983,-9,Denmark,4,21/09/2010,18,AUD,22/04/2019
63,Thalia,Cristoforetti,Male,106125,09/07/1991,14,China,5,25/05/2013,8,INR,26/09/2018
64,Annemarie,Kirtlan,Female,108098,04/09/1989,40,Japan,,06/02/2010,16,INR,11/03/2019
65,Ulises,Walpole,Male,64275,15/10/1984,4,UAE,,11/05/2013,16,INR,15/11/2019
66,Consalve,Strangman,Female,88328,05/03/1991,5,Australia,,09/08/2012,4,INR,31/12/2019
67,Trixie,Mullany,Female,80308,14/01/1990,37,Germany,,21/11/2015,6,INR,27/11/2019
68,Rosene,Chartre,Male,89878,21/12/1991,-12,India,,17/05/2015,1,INR,10/12/2019
69,Adora,Clegg,Female,62720,24/04/1983,-2,Brazil,,23/01/2014,10,INR,22/06/2019
70,Karena,Neaverson,Female,62003,08/05/1989,4,India,,21/02/2014,20,AUD,04/12/2018
71,Novelia,Vasenkov,Male,122182,06/12/1980,17,Sweden,,21/10/2010,17,AUD,27/01/2020
72,Wilhelmina,Yoell,Male,75997,21/04/1986,42,Australia,,28/01/2015,17,INR,12/04/2020
73,Adriano,Fennick,Female,96774,04/07/1991,60,Germany,,30/10/2017,20,AUD,27/04/2018
74,Crystal,Luesley,Male,113232,06/01/1986,-1,China,,24/04/2010,3,INR,31/08/2020
75,Hinda,McElvine,Male,112756,11/08/1989,26,Sweden,,11/06/2015,16,INR,15/01/2020
76,Aurea,Navarijo,Female,99869,30/09/1981,23,Brazil,9,19/09/2015,11,INR,26/02/2018
77,Iosep,Pourvoieur,Female,65987,14/09/1987,16,USA,19,06/03/2015,14,AUD,23/10/2020
